x=13.689; y=-1.035; t=22.524; error=0.0;
x=11.47991260041758; y=-0.652446904324009; t=25.014; error=0.00045537035677049176;
x=11.44691265340594; y=-0.6484464671942574; t=25.043; error=0.00045493118495187836;
x=11.413912857165268; y=-0.644444786538076; t=25.072; error=0.00045324269227274534;
x=11.385913303255322; y=-0.6404416651504624; t=25.095; error=0.00045009380207980767;
x=11.357913614892922; y=-0.6364394842939217; t=25.117; error=0.0004478937723710682;
x=11.33391383601194; y=-0.6324381578058698; t=25.134; error=0.00044654954448863785;
x=11.308914029785305; y=-0.6284369469103102; t=25.152; error=0.00044532401714284653;
x=11.2889141405574; y=-0.6254362085225822; t=25.163; error=0.00044457813605347854;
x=11.268914349591183; y=-0.6194355117874041; t=25.175; error=0.00044385415340898504;
x=11.248914441249825; y=-0.6164349007934109; t=25.187; error=0.00044323695676354183;
x=11.228914598373498; y=-0.6104343770727438; t=25.199; error=0.00044269275929766696;
x=11.209914717230221; y=-0.6064338125449217; t=25.211; error=0.0004421159066949518;
x=11.189914960470936; y=-0.5994331176101672; t=25.222; error=0.00044138711551220896;
x=11.169915115826623; y=-0.5954323409101675; t=25.234; error=0.0004405950357124406;
x=11.149915512400359; y=-0.5874313495470818; t=25.246; error=0.00043954588641106977;
x=11.13091576842195; y=-0.5824303767662187; t=25.258; error=0.00043854203862538847;
x=11.111916019988241; y=-0.5744297793225422; t=25.27; error=0.0004379074199644672;
x=11.092916182518062; y=-0.5684292646690505; t=25.281; error=0.00043737115402545915;
x=11.073916476175524; y=-0.5594286447516583; t=25.293; error=0.0004367064830972604;
x=11.055916493847112; y=-0.5524285993106017; t=25.305; error=0.00043665850114040856;
x=11.03891650379001; y=-0.5444285781819823; t=25.316; error=0.0004366358610490069;
x=11.02291661768033; y=-0.5364283504053933; t=25.328; error=0.00043639051437214925;
x=11.006916970219512; y=-0.5274277236977948; t=25.339; error=0.0004357080514553495;
x=10.991917228952108; y=-0.5194272385930728; t=25.35; error=0.0004351825614384609;
x=10.976917626046635; y=-0.5114264940853321; t=25.362; error=0.00043437618836244006;
x=10.961918072067128; y=-0.5034256578530456; t=25.373; error=0.000433470638041394;
x=10.947918593564012; y=-0.49342492779765723; t=25.384; error=0.0004326553374710668;
x=10.932919054376677; y=-0.4854240638338317; t=25.395; error=0.0004317201976964834;
x=10.918919694614809; y=-0.4764230679857173; t=25.406; error=0.0004306221957002132;
x=10.90392033791513; y=-0.46742199590535793; t=25.417; error=0.00042944917266735127;
x=10.888920770481018; y=-0.4574213470869275; t=25.428; error=0.0004287314827957591;
x=10.873921209027117; y=-0.4494205248672689; t=25.438; error=0.0004278424726456165;
x=10.858921829340725; y=-0.4394195944593787; t=25.449; error=0.00042681396686715297;
x=10.844922484138856; y=-0.4294186778054462; t=25.459; error=0.00042579315812057116;
x=10.82992304990075; y=-0.42041773493612694; t=25.47; error=0.0004247632218491847;
x=10.815923551880834; y=-0.41041703220130077; t=25.48; error=0.0004239813343130806;
x=10.800923978117334; y=-0.4004163928760708; t=25.491; error=0.0004232757421428836;
x=10.786924260674581; y=-0.3914159533577428; t=25.502; error=0.000422792669322087;
x=10.771924548602035; y=-0.3814155214800329; t=25.512; error=0.0004223162485905476;
x=10.75692460699062; y=-0.3714154338977093; t=25.524; error=0.0004222196457170022;
x=10.741924702225734; y=-0.36241527517442257; t=25.535; error=0.00042204647291640594;
