x=13.689; y=-1.035; t=22.524; error=0.0;
x=10.93318096453626; y=-0.48401445509623015; t=25.395; error=0.0010020214173014667;
x=10.91914912509947; y=-0.4749781951633628; t=25.406; error=0.0010326293717819223;
x=10.90403411782024; y=-0.46589315722487523; t=25.417; error=0.001107368481808965;
x=10.888965185948342; y=-0.4558302925627697; t=25.428; error=0.0011702254085879146;
x=10.874034213302734; y=-0.44785214451533; t=25.438; error=0.001148365257124628;
x=10.85921703936967; y=-0.43795785470187265; t=25.449; error=0.001064505946622869;
x=10.84551498944657; y=-0.42815529515310863; t=25.459; error=0.0009893130992967539;
x=10.830721543001326; y=-0.4192646623793572; t=25.47; error=0.0010302163457717173;
x=10.816809158021472; y=-0.4093120254685054; t=25.48; error=0.0010620949391166572;
x=10.801794418556597; y=-0.39928642362775413; t=25.491; error=0.0010678445964148555;
x=10.787865932475375; y=-0.39031747190062055; t=25.502; error=0.0011025804543662648;
x=10.772621975312633; y=-0.38013796316188997; t=25.512; error=0.0010629961428828283;
x=10.757800246423962; y=-0.3702405382734303; t=25.524; error=0.0011032572017386846;
x=10.742758942780867; y=-0.36119973612662426; t=25.535; error=0.0011029126944863137;
x=10.725790554348855; y=-0.3521999345323402; t=25.546; error=0.0011247581655784318;
x=10.709809860421247; y=-0.3431944405161966; t=25.558; error=0.001142278417833694;
x=10.691816975944233; y=-0.3331805189812931; t=25.57; error=0.0011571511714013381;
x=10.674821033578691; y=-0.3251669887240328; t=25.582; error=0.0011696169985205805;
x=10.657932640575291; y=-0.3162103346411351; t=25.594; error=0.0012220432977888605;
x=10.639898374161541; y=-0.3091825327919839; t=25.606; error=0.0012146311252014042;
x=10.622986545417293; y=-0.3002142688605834; t=25.619; error=0.0012612078670189019;
x=10.605067897819632; y=-0.2932319293364491; t=25.632; error=0.0013154232388794007;
x=10.588021878789847; y=-0.2851962721645343; t=25.645; error=0.0013000825722403076;
x=10.572231085686603; y=-0.27926306344198426; t=25.658; error=0.0014347987518463232;
x=10.556243633058326; y=-0.2712563801070759; t=25.672; error=0.0014489974909966186;
x=10.541106139123675; y=-0.26519047911103183; t=25.686; error=0.0013707179982049415;
x=10.527050125940386; y=-0.25815127247056124; t=25.702; error=0.0013502232814981074;
x=10.513058131741417; y=-0.25314451470270816; t=25.717; error=0.001360697569658857;
x=10.499873365447511; y=-0.24704941904943664; t=25.733; error=0.001290880067426758;
x=10.487745693739335; y=-0.24097644540385657; t=25.749; error=0.0012663819187627417;
x=10.476769981721631; y=-0.23498111319193854; t=25.766; error=0.0012771069568702142;
x=10.46561932139435; y=-0.2288903910740988; t=25.782; error=0.0012707442535533676;
x=10.45789326784706; y=-0.22308876835931682; t=25.799; error=0.0012760370486677877;
x=10.448920572630977; y=-0.21709911439527932; t=25.816; error=0.0012880406987729204;
x=10.441946461448106; y=-0.2111136434952006; t=25.833; error=0.0012966946928055093;
x=10.435029030010437; y=-0.20319806693017986; t=25.85; error=0.0013046069947890114;
x=10.430079861420618; y=-0.1982430750495496; t=25.867; error=0.0013187251678617629;
x=10.424083741918754; y=-0.1892381726674632; t=25.884; error=0.0013247178684775204;
x=10.4190869880742; y=-0.18323557910669935; t=25.902; error=0.0013288650704905485;
x=10.414161007765747; y=-0.17435678114610526; t=25.919; error=0.0013272789933281804;
x=10.409115912798484; y=-0.16728557587623807; t=25.936; error=0.0013250144159344611;
x=10.404010170189968; y=-0.1570613871314066; t=25.954; error=0.0013789263685160319;
x=10.399833712403487; y=-0.1486983612389841; t=25.971; error=0.0015457489563016676;
x=10.39460014893911; y=-0.13717150845858658; t=25.989; error=0.0019244635788020757;
x=10.388627272617624; y=-0.12820368037786725; t=26.006; error=0.0019026915466465533;
x=10.38379647468058; y=-0.11756230096662018; t=26.022; error=0.0016435785431146656;
x=10.37802267226333; y=-0.1079288832380631; t=26.039; error=0.0014809286532061863;
x=10.371906540333372; y=-0.09670343493454507; t=26.056; error=0.0015820544696651183;
x=10.36584654469485; y=-0.08558072635505526; t=26.072; error=0.0016525663676880864;
x=10.359795639938557; y=-0.0744744311647357; t=26.089; error=0.0017205822220856544;
x=10.353872501906388; y=-0.06360263212847395; t=26.105; error=0.0016473908294705147;
x=10.347798350043304; y=-0.051437881607845966; t=26.122; error=0.0017543023293462598;
x=10.341678424347643; y=-0.040203767024621556; t=26.138; error=0.0019200813777840032;
x=10.334855281367767; y=-0.028493085907439066; t=26.154; error=0.001732713565598625;
x=10.328773147986391; y=-0.017329875304448183; t=26.17; error=0.0018404005834474237;
x=10.321777172532858; y=-0.005323109323201441; t=26.186; error=0.0018482314486458625;
x=10.315776515483439; y=0.006692640725549289; t=26.202; error=0.0018622590909453947;
x=10.309777890189476; y=0.01870522537495187; t=26.218; error=0.0018742749868320768;
x=10.303931943336062; y=0.030411670780711775; t=26.234; error=0.0016915474497466562;
x=10.297807988017972; y=0.043698693409418836; t=26.25; error=0.0018810645752840051;
x=10.292837795068218; y=0.05564424770782855; t=26.265; error=0.0018453864367741649;
x=10.28692400793669; y=0.06847552658585838; t=26.281; error=0.0017409679413023236;
x=10.281999128279024; y=0.0803138871742906; t=26.296; error=0.00165062316253865;
x=10.276152702462213; y=0.09397748197290691; t=26.312; error=0.0015113550124798926;
x=10.271057667242507; y=0.10622574888332453; t=26.327; error=0.0016189874369016435;
x=10.266008462946134; y=0.12039034861577382; t=26.342; error=0.0017175758461006998;
x=10.260961268261388; y=0.1335348549366022; t=26.357; error=0.001811026324150157;
x=10.255062153143626; y=0.14732073054233957; t=26.372; error=0.0016948446731145817;
x=10.249975865449878; y=0.16158655908808925; t=26.385; error=0.0018626548569885867;
x=10.245003602466712; y=0.17553281155286085; t=26.399; error=0.0018321378681131013;
x=10.24000630187771; y=0.18954868389724222; t=26.412; error=0.0018469069501893685;
x=10.235062749500603; y=0.20341419981422945; t=26.425; error=0.001769010349206181;
x=10.230031740453366; y=0.21853196739876085; t=26.437; error=0.0018470009404384822;
x=10.225163030942383; y=0.2321857261779658; t=26.45; error=0.0016608996182952774;
x=10.219129848134827; y=0.2462833706195066; t=26.462; error=0.001709852904429126;
x=10.214163359144905; y=0.2602128206662467; t=26.474; error=0.0016805768261258006;
x=10.210090714193635; y=0.27551945929092286; t=26.485; error=0.0018704047660785671;
