x=13.689; y=-1.035; t=22.524; error=0.0;
x=10.13977037034331; y=0.4882322286813643; t=26.656; error=0.0010876319522579651;
x=10.135794991663078; y=0.5001583647220625; t=26.664; error=0.0011577399040510472;
x=10.131778357714271; y=0.5122082665684855; t=26.673; error=0.0011102623824767609;
x=10.127798296629232; y=0.5241484498236069; t=26.682; error=0.0011672254328778328;
x=10.123824746821548; y=0.5360690992466544; t=26.691; error=0.0012436975244140345;
x=10.118825128533842; y=0.5470682594796086; t=26.7; error=0.00124457924404184;
x=10.114826608319825; y=0.5590638201216611; t=26.708; error=0.0012488851344339762;
x=10.109814703225299; y=0.5710923923485253; t=26.717; error=0.001219628219715836;
x=10.10480076157959; y=0.5821230639690829; t=26.725; error=0.0011875335404394974;
x=10.09981536929074; y=0.5940880054623261; t=26.733; error=0.0012233401477218474;
x=10.095700886039035; y=0.6043742135915914; t=26.742; error=0.0009396009092492994;
x=10.090628150417988; y=0.6165487790821018; t=26.75; error=0.0007734166175920618;
x=10.085590864477384; y=0.626623350963313; t=26.758; error=0.000700703451875459;
x=10.080624786270082; y=0.6385419386608328; t=26.767; error=0.0007747116068078626;
x=10.076580192650571; y=0.647642274304733; t=26.776; error=0.0006816092611094764;
x=10.071572696838437; y=0.6586587650914267; t=26.784; error=0.0006666505318272007;
x=10.067529489027798; y=0.6687667846180265; t=26.793; error=0.0005785741481846234;
x=10.063622029582762; y=0.6785354332306183; t=26.802; error=0.0007763653038638996;
x=10.059573274738087; y=0.6886573203423009; t=26.811; error=0.0006678871709578658;
x=10.055581354632244; y=0.6986371206069109; t=26.82; error=0.0006853135503988088;
x=10.050520985947848; y=0.7087578579757031; t=26.83; error=0.0005745077177769684;
x=10.046487829379057; y=0.7188407493976764; t=26.839; error=0.0005131649417215733;
x=10.04245951399393; y=0.7299186167067809; t=26.848; error=0.0004666651380081138;
x=10.037409077882735; y=0.7390094017069332; t=26.857; error=0.00040918590669240926;
x=10.032456329565477; y=0.7499054480049002; t=26.866; error=0.00046602226567590496;
x=10.027536542196925; y=0.7597450227420034; t=26.876; error=0.0005940462365654172;
x=10.023525156267656; y=0.7697734875651753; t=26.885; error=0.0005719239360167436;
x=10.018560624238331; y=0.7797025516238273; t=26.895; error=0.0006346456279621131;
x=10.012662551325972; y=0.7914986974485447; t=26.904; error=0.0008308300112793625;
x=10.007697754329344; y=0.8014282914418002; t=26.914; error=0.0009020597428319064;
x=10.002676972239607; y=0.8124740120392236; t=26.924; error=0.0008572950181118791;
x=9.997698191002655; y=0.8234273307605143; t=26.934; error=0.0009030064972312795;
