x=13.689; y=-1.035; t=22.524; error=0.0;
x=11.149109777674143; y=-0.5868735286265899; t=25.246; error=0.0008991611633890052;
x=11.130328871538254; y=-0.5819311849066189; t=25.258; error=0.0006746472628296117;
x=11.111298932455309; y=-0.5739185789769581; t=25.27; error=0.0007057797710421234;
x=11.09225247697153; y=-0.5679039088241853; t=25.281; error=0.0007536737969198703;
x=11.073551782814823; y=-0.5590456852762721; t=25.293; error=0.00045053944284158563;
x=11.05555399244071; y=-0.5520465445752284; t=25.305; error=0.0004484296382105555;
x=11.038594897276228; y=-0.5440657939095892; t=25.316; error=0.0004104108372668746;
x=11.022399242760432; y=-0.5359679666516916; t=25.328; error=0.0006016106683699429;
x=11.00662611619129; y=-0.5270955829565491; t=25.339; error=0.00038590828443788933;
x=10.991525000137845; y=-0.5190416543947107; t=25.35; error=0.00047682277383445947;
x=10.97650286689084; y=-0.5110298499963083; t=25.362; error=0.0004980284635470362;
x=10.961563683435028; y=-0.5030622854865419; t=25.373; error=0.00044073986284748893;
x=10.947350305927074; y=-0.49290987298086036; t=25.384; error=0.0006559155951604177;
x=10.93266302931527; y=-0.48507665878789813; t=25.395; error=0.0003455803989367691;
x=10.918599455539207; y=-0.4760357899318571; t=25.406; error=0.00040214025450691093;
x=10.903626562412603; y=-0.46705205405589545; t=25.417; error=0.0003770480823663973;
x=10.888741467736876; y=-0.4571286576054117; t=25.428; error=0.00028877622912174195;
x=10.873624187009737; y=-0.4490661078842702; t=25.438; error=0.0003815830918863238;
x=10.85851326225573; y=-0.4389921580482665; t=25.449; error=0.00048680091197912505;
x=10.844228803777206; y=-0.4287889734207484; t=25.459; error=0.0007995472663973839;
x=10.82915834475287; y=-0.4197466980061465; t=25.47; error=0.0008789456496921176;
x=10.815147434426148; y=-0.4097389049156313; t=25.48; error=0.0008916494270733823;
x=10.800267445706005; y=-0.39981891243553624; t=25.491; error=0.0007546048632587524;
x=10.786143478237186; y=-0.3907392190627234; t=25.502; error=0.000895341402718787;
x=10.771017254971754; y=-0.380655070219103; t=25.512; error=0.0010415202082972271;
x=10.755906243384718; y=-0.37058106249441203; t=25.524; error=0.0011712438546521472;
x=10.741071970152849; y=-0.3616804985552898; t=25.535; error=0.000981488955810262;
x=10.724072382252883; y=-0.3526807167258973; t=25.546; error=0.0009810282839384247;
x=10.70815288191255; y=-0.34372599778445995; t=25.558; error=0.0008903293032383019;
x=10.689776221303601; y=-0.33351674189059866; t=25.57; error=0.0013157403611894854;
x=10.67267937842304; y=-0.3254711687703348; t=25.582; error=0.0014225694425940864;
x=10.655577173759704; y=-0.3164170604191571; t=25.594; error=0.0015376127812251168;
x=10.637477339464173; y=-0.30937823597089487; t=25.606; error=0.0016447144479369365;
x=10.620573407695819; y=-0.30042909562294207; t=25.619; error=0.0015365862846234432;
x=10.60273690583872; y=-0.2934926782340703; t=25.632; error=0.001361169436346642;
x=10.585574740063581; y=-0.2854163649281227; t=25.645; error=0.001540128495770579;
x=10.569503961477652; y=-0.27938982295839915; t=25.658; error=0.001615687866651359;
x=10.553759220777907; y=-0.27151745260852633; t=25.672; error=0.0013313095293710129;
x=10.5386067736567; y=-0.26545647376004333; t=25.686; error=0.001495493369154856;
x=10.524830012321154; y=-0.25856809309227036; t=25.702; error=0.001247162678080371;
x=10.510600560560082; y=-0.2534861460347449; t=25.717; error=0.0014907973180843432;
x=10.497620969952319; y=-0.2474955657542385; t=25.733; error=0.0014683929244946477;
x=10.485612518059739; y=-0.2414913398079487; t=25.749; error=0.0014777825704510325;
x=10.474499987374648; y=-0.23542995943426195; t=25.766; error=0.0016046757064298472;
x=10.463511064615917; y=-0.22943600156586363; t=25.782; error=0.0015921754965089031;
x=10.455288459036085; y=-0.22326904738098868; t=25.799; error=0.0018610922068508396;
x=10.446239727682325; y=-0.21723655981181544; t=25.816; error=0.0019186973584461925;
x=10.439044399471598; y=-0.21106913563119162; t=25.833; error=0.0021658443849468926;
x=10.431877604804004; y=-0.20287851315394353; t=25.85; error=0.002400477892808074;
x=10.42698075510561; y=-0.19798166345554868; t=25.867; error=0.0022614949173687367;
x=10.421168525653544; y=-0.1892633192774487; t=25.884; error=0.0019740812467340077;
x=10.416143932464516; y=-0.18323380745061593; t=25.902; error=0.002007993455917082;
x=10.41108694925989; y=-0.1741312376822847; t=25.919; error=0.002101073796638437;
x=10.406246914359112; y=-0.16735518882119876; t=25.936; error=0.0018679107903194446;
x=10.40128308489141; y=-0.1574275298857938; t=25.954; error=0.0018098396397922467;
x=10.397154501753011; y=-0.14917036360899755; t=25.971; error=0.0020234031533313615;
x=10.392098629892962; y=-0.13804744551688472; t=25.989; error=0.0021266330965266783;
x=10.38624462516797; y=-0.12926643842939933; t=26.006; error=0.0019024861047547833;
x=10.38098744228377; y=-0.1177006360841615; t=26.022; error=0.002395565725864634;
x=10.374996080710165; y=-0.10771503346148444; t=26.039; error=0.002380510769830657;
x=10.369244176564017; y=-0.09716987586021446; t=26.056; error=0.0019421694122305217;
x=10.363309532502925; y=-0.08628969508154669; t=26.072; error=0.001833633942707295;
